episode,high,mid,low,choice,win,order,total_wins,wins_to_that_point,fund
85,22,30000,10000,2500,Middle choice,Contestant Wins,2,1,0.0,0
86,22,25000,8000,2000,Middle choice,Contestant Wins,3,2,1.0,10000
87,22,45000,12000,1000,Middle choice,Chaser Wins,4,2,2.0,18000
88,23,25000,10000,2000,Middle choice,Chaser Wins,1,0,0.0,0
89,23,45000,18000,3000,Middle choice,Contestant Wins,2,1,0.0,0
90,23,30000,6000,500,Middle choice,Chaser Wins,3,1,1.0,18000
91,23,40000,2700,1000,Middle choice,Contestant Wins,4,2,1.0,0
92,24,35000,2700,3000,Middle choice,Contestant Wins,1,1,0.0,0
93,24,45000,16000,2000,Middle choice,Chaser Wins,2,1,1.0,2700
94,24,40000,10000,1000,Middle choice,Contestant Wins,3,2,1.0,0
95,24,50000,2700,500,Middle choice,Contestant Wins,4,3,2.0,10000
96,25,40000,10000,3000,Middle choice,Contestant Wins,1,1,0.0,0
97,25,50000,10000,3000,Middle choice,Chaser Wins,2,1,1.0,10000
98,25,60000,18000,6000,Middle choice,Contestant Wins,3,2,1.0,0
99,25,42000,10000,2000,Top choice,Chaser Wins,4,2,2.0,18000
100,26,38000,16000,3000,Middle choice,Contestant Wins,1,1,0.0,0
101,26,28000,6000,1000,Middle choice,Chaser Wins,2,1,1.0,16000
102,26,35000,12000,2000,Middle choice,Contestant Wins,3,2,1.0,0
103,26,40000,6000,500,Low choice,Contestant Wins,4,3,2.0,12000
104,27,30000,2700,2500,Middle choice,Chaser Wins,1,0,0.0,0
105,27,32000,12000,2000,Middle choice,Chaser Wins,2,0,0.0,0
106,27,40000,2700,3000,Middle choice,Contestant Wins,3,1,0.0,0
107,27,45000,12000,370,Middle choice,Contestant Wins,4,2,1.0,2700
108,28,32000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0
109,28,54000,16000,4000,Middle choice,Contestant Wins,2,2,1.0,12000
110,28,60000,16000,3000,Middle choice,Contestant Wins,3,3,2.0,28000
111,28,65000,20000,5000,Middle choice,Chaser Wins,4,4,3.0,44000
112,29,20000,4000,1000,Middle choice,Contestant Wins,1,1,0.0,0
113,29,35000,12000,3000,Middle choice,Contestant Wins,2,2,1.0,4000
114,29,30000,8000,2000,Middle choice,Contestant Wins,3,3,2.0,16000
115,29,55000,16000,4000,Middle choice,Contestant Wins,4,4,3.0,24000
116,30,30000,2700,3000,Middle choice,Contestant Wins,1,1,0.0,0
117,30,25000,6000,500,Middle choice,Chaser Wins,2,1,1.0,2700
118,30,35000,12000,2500,Middle choice,Chaser Wins,3,1,1.0,0
119,30,45000,10000,1000,Middle choice,Chaser Wins,4,1,1.0,0
120,31,30000,12000,3000,Low choice,Contestant Wins,1,1,0.0,0
121,31,30000,12000,2000,Middle choice,Chaser Wins,2,1,1.0,3000
122,31,28000,6000,-100,Middle choice,Contestant Wins,3,2,1.0,0
123,31,50000,16000,1000,Middle choice,Contestant Wins,4,3,2.0,6000
124,32,40000,18000,4500,Middle choice,Contestant Wins,1,1,0.0,0
125,32,18000,4000,100,Middle choice,Contestant Wins,2,2,1.0,18000
126,32,35000,12000,2000,Middle choice,Contestant Wins,3,3,2.0,22000
127,32,45000,2700,1000,Middle choice,Contestant Wins,4,4,3.0,34000
128,33,50000,20000,4000,Middle choice,Chaser Wins,1,0,0.0,0
129,33,40000,16000,3000,Middle choice,Chaser Wins,2,0,0.0,0
130,33,30000,10000,2500,Middle choice,Contestant Wins,3,1,0.0,0
131,33,25000,6000,1000,Middle choice,Contestant Wins,4,2,1.0,10000
132,34,20000,4000,100,Middle choice,Chaser Wins,1,0,0.0,0
133,34,25000,6000,1000,Middle choice,Chaser Wins,2,0,0.0,0
134,34,30000,6000,1000,Middle choice,Chaser Wins,3,0,0.0,0
135,34,40000,2700,3000,Middle choice,Contestant Wins,4,1,0.0,0
136,35,50000,22000,3000,Middle choice,Chaser Wins,1,0,0.0,0
137,35,30000,12000,2500,Middle choice,Chaser Wins,2,0,0.0,0
138,35,50000,18000,2000,Middle choice,Chaser Wins,3,0,0.0,0
139,35,40000,10000,2500,Middle choice,Contestant Wins,4,1,0.0,0
140,36,36000,2700,3000,Middle choice,Chaser Wins,1,0,0.0,0
141,36,40000,2700,3000,Middle choice,Contestant Wins,2,1,0.0,0
142,36,30000,10000,370,Middle choice,Chaser Wins,3,0,1.0,2700
143,36,45000,2700,2000,Middle choice,Contestant Wins,4,2,1.0,0
144,37,32000,12000,2500,Middle choice,Contestant Wins,1,1,0.0,0
145,37,35000,12000,2500,Middle choice,Chaser Wins,2,1,1.0,12000
146,37,40000,16000,3000,Low choice,Contestant Wins,3,2,1.0,0
147,37,40000,10000,-1000,Middle choice,Chaser Wins,4,2,2.0,3000
148,38,30000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0
149,38,25000,8000,370,Middle choice,Contestant Wins,2,2,1.0,12000
150,38,30000,8000,1000,Middle choice,Chaser Wins,3,2,2.0,20000
151,38,40000,12000,500,Middle choice,Chaser Wins,4,2,2.0,0
152,39,44000,18000,2000,Middle choice,Chaser Wins,1,0,0.0,0
153,39,30000,10000,2500,Middle choice,Contestant Wins,2,1,0.0,0
154,39,25000,6000,500,Middle choice,Contestant Wins,3,2,1.0,10000
155,39,50000,12000,2000,Middle choice,Chaser Wins,4,2,2.0,16000
